id,brand,name,category,offers,why,best_source_px,source_file
toshiba-43c350le,Toshiba,43C350LE,tv,1,no source saved,0,
toshiba-43c450ke,Toshiba,43C450KE,tv,1,no source saved,0,
toshiba-43c450me,Toshiba,43C450ME,tv,1,no source saved,0,
toshiba-50m550le,Toshiba,50M550LE,tv,1,no source saved,0,
toshiba-55c450me,Toshiba,55C450ME,tv,1,no source saved,0,
toshiba-55z670me,Toshiba,55Z670ME,tv,1,no source saved,0,
toshiba-65c450me,Toshiba,65C450ME,tv,1,no source saved,0,
toshiba-85m550le,Toshiba,85M550LE,tv,1,no source saved,0,
toshiba-85z670me,Toshiba,85Z670ME,tv,1,no source saved,0,
xiaomi-a-43-2026,Xiaomi,A 43 2026,tv,1,no source saved,0,
xiaomi-a-50-2026,Xiaomi,A 50 2026,tv,1,no source saved,0,
xiaomi-a-65-2025,Xiaomi,A 65 2025,tv,1,no source saved,0,
xiaomi-a-65-2026,Xiaomi,A 65 2026,tv,1,no source saved,0,
xiaomi-smart-band-8-champagne-bhr7166gl,Xiaomi,Smart Band 8 Champagne BHR7166GL,watch,1,no source saved,0,
xiaomi-watch-s1-active,Xiaomi,Watch S1 Active,watch,1,source only 500px,500,xiaomi-watch-s1-active__main.png
garmin-cirqa-smart-band-s-m,Garmin,"CIRQA Smart Band, Black, S-M",watch,0,no source saved,0,
sony-wf-c510-b,Sony,WF-C510/B,earbuds,0,no source saved,0,
sony-wf-c510-l,Sony,WF-C510/L,earbuds,0,no source saved,0,
sony-wf-c510-w,Sony,WF-C510/W,earbuds,0,no source saved,0,
