shop,brand,name,category,priceAmd,id,shopTitle
ibolit,Apple,MacBook Air 13 MGND3 M1 2020,laptop,314900,apple-macbook-air-13-mgnd3-m1-2020,MacBook Air 13 MGND3 M1 2020 Gold
ibolit,Apple,MacBook Air MGN63 Late 2020,laptop,305000,apple-macbook-air-mgn63-late-2020,MacBook Air MGN63 Late 2020 Space Gray
ibolit,Apple,MacBook Air MGN93 Late 2020,laptop,339000,apple-macbook-air-mgn93-late-2020,MacBook Air MGN93 Late 2020 Silver
ibolit,Apple,MacBook Pro 14 2023 MTL73,laptop,692000,apple-macbook-pro-14-2023-mtl73,MacBook Pro 14 2023 MTL73 Space Gray
ibolit,Apple,MacBook Pro 14 MR7J3 2023,laptop,720000,apple-macbook-pro-14-mr7j3-2023,MacBook Pro 14 MR7J3 2023 Silver
ibolit,Apple,MacBook Pro 14 MRX33 2023,laptop,889000,apple-macbook-pro-14-mrx33-2023,MacBook Pro 14 MRX33 2023 Space Black
ibolit,Apple,MacBook Pro 14 MRX43 2023,laptop,1043000,apple-macbook-pro-14-mrx43-2023,MacBook Pro 14 MRX43 2023 Space Black
ibolit,Apple,MacBook Pro 16 MRW23,laptop,1175000,apple-macbook-pro-16-mrw23,MacBook Pro 16 MRW23 Space Black
ibolit,Apple,MacBook Pro 16 MRW63 2023,laptop,1175000,apple-macbook-pro-16-mrw63-2023,MacBook Pro 16 MRW63 2023 Silver
ibolit,Apple,TWS Bluetooth Headsets 3rd Generation,earbuds,65900,apple-tws-bluetooth-headsets-3rd-generation,TWS Bluetooth Headsets Apple AirPods 3rd Generation
ibolit,Apple,Watch Band 42mm,watch,68900,apple-band-extension-42mm-magnetic-link-for-38-42mm,Band Extension Apple 42mm Magnetic Link Black for Apple Watch 38-42mm
ibolit,ASUS,Mouse ROG Keris P509 90MP01R0-B0UA00,laptop,29100,asus-mouse-rog-keris-p509-90mp01r0-b0ua00,Mouse Asus ROG Keris P509 90MP01R0-B0UA00
ibolit,ASUS,P504 ROG Gladius II Origin,laptop,39000,asus-p504-rog-gladius-ii-origin,Asus P504 ROG Gladius II Origin
ibolit,ASUS,ProArt LC 420,monitor,153000,asus-proart-lc-420,Asus ProArt LC 420
ibolit,ASUS,ROG Gladius II Core P507,laptop,32400,asus-rog-gladius-ii-core-p507,Asus ROG Gladius II Core P507
ibolit,ASUS,ROG Hyperion GR701,laptop,195000,asus-rog-hyperion-gr701,Asus ROG Hyperion GR701
ibolit,ASUS,ROG Keris P513,laptop,3200,asus-rog-keris-p513,Asus ROG Keris P513
ibolit,ASUS,ROG RG-07 Performance Thermal Paste Kit,laptop,16000,asus-rog-rg-07-performance-thermal-paste-kit,Asus ROG RG-07 Performance Thermal Paste Kit
